Document Number,Document Title,Document Date,Cancelled/Superceding Document,Cancelled/Superceding Date
GGG-C-137A,"Caps, Vise Jaw",11-Jan-1965,A-A-2938,Superceding Date: 5-Dec-1995
GGG-B-800A,"Bush Hooks, Hand",15-Apr-1977,A-A-970A,Superceding Date: 3-Feb-1994
GGG-B-481A(2),"Block, Dolly, Sheet Metal",16-Feb-1954,A-A-3017,Superceding Date: 28-Oct-1996
GGG-B-431A(1),"Blades, Saw, Round (Machine and Hand)",19-Jun-1953,A-A-51156,Superceding Date: 22-May-1989
GGG-B-425,"Blade, Reciprocating Saw",1-May-1975,A-A-3088,Superceding Date: 11-Oct-1996
GGG-B-421C,"Blades, Band-Saw Wood Cutting, Metal Cutting, and Meat Cutti",7-Jun-1968,A-A-51125A,Superceding Date: 12-Aug-1987
GGG-B-00379A,"Bit, Screwdriver (Phillips Type)",6-Nov-1970,MIL-B-9946/3,Superceding Date: 8-Mar-1985
GGG-B-379,"Bit, Screwdriver (Phillips)",6-Nov-1970,MIL-B-9946/3,Superceding Date: 8-Mar-1985
GGG-B-211B,Bevels: Sliding T; Universal,1-Apr-1964,A-A-2532,Superceding Date: 17-Mar-1987
GGG-B-110A,"Bar, Combination Pry and Scraper",14-Sep-1966,A-A-2881,Superceding Date: 30-Oct-1996
GGG-B-00101E,"Bars; Chisel, Pinch, Pry, Wrecking, Digging, Tamping, Diggin",17-Feb-1965,A-A-2562,Superceding Date: 6-Dec-1995
GGG-A-00147,"Adjusting Tool, Valve Tappet",3-Feb-1965,A-A-2538,Superceding Date: 26-May-1989
FFF-D-191D,Dentifrice,16-Apr-1975,A-A-103,Superceding Date: 26-Jun-1985
DDD-W-80E,"Washcloth, Terry, Cotton",29-Jun-1987,A-A-55303,Superceding Date: 13-Mar-1997
DDD-T-551K,"Towel, Bath, Cotton, Terry",19-Oct-1977,A-A-886A,Superceding Date: 14-Feb-1995
DDD-T-531H,"Towel, Hand; and Cloth, Duck, Cotton",14-Oct-1988,ASTM-D5433,Superceding Date: 28-Aug-1995
DDD-T-00501D(1),"Towels and Toweling, Cotton for Glassware",26-May-1967,A-A-118,Superceding Date: 24-Jan-1994
DDD-T-501C,"Towels, Cotton, for Glassware",27-Aug-1953,A-A-118,Superceding Date: 24-Jan-1994
DDD-T-86H,"Tape, Textile; Cotton, General Purpose (Unbleached, Bleached",23-Dec-1985,A-A-52071,Superceding Date: 4-May-1995
DDD-S-281K,"Sheet, Bed, Cotton, and Polyester-Cotton",2-Feb-1978,A-A-1433,Superceding Date: 16-Oct-1995
DDD-R-311F(1),"Ribbons, Typewriter",21-Nov-1972,A-A-417,Superceding Date: 10-Nov-1986
DDD-R-00310(1),"Ribbon, Time Stamp",7-May-1971,A-A-362,"Cancelled Date: 6-Jun-1986 Superceding Date: 6-Jun-1986"
DDD-R-306B,"Ribbons, Teletypewriter, Record",17-Oct-1973,A-A-419,Superceding Date: 6-Jun-1986
DDD-R-271A,Ribbons; Computing and Recording Machine,28-Jan-1948,A-A-370,Superceding Date: 6-Jun-1986
DDD-R-250E(6),"Ribbon, Accounting Machine",2-Jan-1964,A-A-420,Superceding Date: 12-Mar-1998
DDD-R-30G,"Rag, Wiping, Cotton and Cotton-Synthetic",5-Jul-1983,A-A-2522A,Superceding Date: 24-Sep-1993
CCC-T-191/5903,Flame Resistance of Cloth; Modified Vertical,15-May-1951,FED-STD-191/5903,Superceding Date: 31-Dec-1968
CCC-T-191/5902,Flame Resistance of Cloth; Vertical,15-May-1951,FED-STD-191/5903,Superceding Date: 31-Dec-1968
CCC-T-191/5900,Flame Resistance of Cloth; Horizontal,15-May-1951,FED-STD-191/5900,Superceding Date: 31-Dec-1968
CCC-T-191/5874,"Temperature, Low, Effect On Coated Cloth",15-May-1951,FED-STD-191/5874,Superceding Date: 31-Dec-1968
CCC-T-191/5872,"Temperature, High, Effect On Cloth Blocking",15-May-1951,FED-STD-191/5872,Superceding Date: 31-Dec-1968
CCC-T-191/5870,"Temperature, High, Effect On Cloth Flexibility",15-May-1951,FED-STD-191/5870,Superceding Date: 31-Dec-1968
CCC-T-191/5852,Accelerated Aging of Cloth; Oxygen Method,15-May-1951,FED-STD-191/5852,Superceding Date: 31-Dec-1968
CCC-T-191/5851,Accelerated Aging of Cloth; Closed Container Method,15-May-1951,FED-STD-191/5851,Superceding Date: 31-Dec-1968
CCC-T-191/5850,Accelerated Aging of Cloth; Oven Method,15-May-1951,FED-STD-191/5850,Superceding Date: 31-Dec-1968
CCC-T-191/5832,Leaching Resistance of Cloth; Prewet Specimen method,15-May-1951,FED-STD-191/5832,Superceding Date: 31-Dec-1968
CCC-T-191/5831,Leaching Resistance of Cloth; Minimum Exposure,15-May-1951,FED-STD-191/5831,Superceding Date: 31-Dec-1968
CCC-T-191/5830,Leaching Resistance of Cloth; Standard Method,15-May-1951,FED-STD-191/5830,Superceding Date: 31-Dec-1968
CCC-T-191/5804.1,Weathering Resistance of Cloth; Accelerated Weathering Metho,17-Sep-1963,FED-STD-191/5804,Superceding Date: 31-Dec-1968
CCC-T-191/5800.1,Weathering Resistance of Cloth; Natural Weathering Method,17-Sep-1963,FED-STD-191/5800,Superceding Date: 31-Dec-1968
CCC-T-191/5762,Mildew Resistance of Cloth; Soil Burial Method,15-May-1951,FED-STD-191/5762,Superceding Date: 31-Dec-1968
CCC-T-191/5760.1,"Mildew Resistance of Textiles, Mixed Culture method",15-Jan-1959,FED-STD-191/5760,Superceding Date: 31-Dec-1968
CCC-T-191/5751.1,"Mildew Resistance of Cloth; Direct Inoculation, Pure Culture",6-May-1953,FED-STD-191/5750,Superceding Date: 31-Dec-1968
CCC-T-191/5750,"Mildew Resistance of Cloth; Direct Inoculation, Pure Culture",15-May-1951,FED-STD-191/5750,Superceding Date: 31-Dec-1968
CCC-T-191/5680.1,Colorfastness of Cloth to Perspiration:,17-Sep-1963,FED-STD-191/5680,Superceding Date: 31-Dec-1968
CCC-T-191/5672,Colorfastness to Weather of Cloth; Natural Weather Method,15-May-1951,FED-STD-191/5672,Superceding Date: 31-Dec-1968
CCC-T-191/5671,Colorfastness to Weather of Cloth; Accelerated Method Nation,15-May-1951,FED-STD-191/5671,Superceding Date: 31-Dec-1968
CCC-T-191/5662.1,Colorfastness to Light of Cloth; Natural Light Method,15-Jan-1958,FED-STD-191/5662,Superceding Date: 31-Dec-1968
CCC-T-191/5660.1,Colorfastness to Light of Cloth-Accelerated Method,22-Dec-1964,FED-STD-191/5660,Superceding Date: 31-Dec-1968
CCC-T-191/5651.2,Crocking of Cloth; Standard Sample-Munsell Scale Method,22-Dec-1964,FED-STD-191/5651,Superceding Date: 31-Dec-1968
CCC-T-191/5640,Colorfastness to Dry and Wet Heat Hot Pressing of Cloth,15-May-1951,FED-STD-191/5640,Superceding Date: 31-Dec-1968
CCC-T-191/5632.1,Colorfastness of Cloth to Salt Water and Soap,17-Sep-1963,FED-STD-191/5632,Superceding Date: 31-Dec-1968
CCC-T-191/5630,Colorfastness to Water of Cloth,15-May-1951,FED-STD-191/5630,Superceding Date: 31-Dec-1968
CCC-T-191/5622.1,Colorfastness to Wet Cleaning Associated With Dry Cleaning,25-Jan-1956,FED-STD-191/5622,Superceding Date: 31-Dec-1968
CCC-T-191/5621,Colorfastness to Dry Cleaning of Cloth Perchlorethylene Solv,15-May-1951,FED-STD-191/5621,Superceding Date: 31-Dec-1968
CCC-T-191/5620,Colorfastness to Dry Cleaning of Cloth Petroleum Solvent,15-May-1951,FED-STD-191/5620,Superceding Date: 31-Dec-1968
CCC-T-191/5616,"Colorfastness to Laundering of Wool, Silk, Rayon Cloth; Wash",15-May-1951,FED-STD-191/5616,Superceding Date: 31-Dec-1968
CCC-T-191/5614,"Colorfastness to Laundering of Wool, Silk, Rayon Cloth; Laun",15-May-1951,FED-STD-191/5614,Superceding Date: 31-Dec-1968
CCC-T-191/5612,Colorfastness to Laundering of Cotton and/or Linen Cloth; Wa,15-May-1951,FED-STD-191/5612,Superceding Date: 31-Dec-1968
CCC-T-191/5610.1,Colorfastness to Laundering of Cotton and/or Linen Cloth;,15-Jan-1958,FED-STD-191/5610,Superceding Date: 31-Dec-1968
CCC-T-191/5605,Colorfastness to Combined Laundering and Bleaching of Cotton,15-May-1951,FED-STD-191/5605,Superceding Date: 31-Dec-1968
CCC-T-191/5600,Colorfastness to Chlorine Bleaching; Cloth,15-May-1951,FED-STD-191/5600,Superceding Date: 31-Dec-1968
CCC-T-191/5590.1,Shrinkage in Sponging; Wool Cloth,22-May-1962,FED-STD-191/5590,Superceding Date: 31-Dec-1968
CCC-T-191/5580.1,Shrinkage in Dry Cleaning; Cloth,17-Sep-1963,FED-STD-191/5580,Superceding Date: 31-Dec-1968
CCC-T-191/5558.2,"Shrinkage, Relaxation: Wool Cloth",17-Sep-1963,FED-STD-191/5558,Superceding Date: 31-Dec-1968
CCC-T-191/5556.3,Mobile Laundry Evaluation for Textile Materials,24-Sep-1965,FED-STD-191/5556,Superceding Date: 31-Dec-1968
CCC-T-191/5554.1,Shrinkage in Laundering: Wool Cloth: Accelerated,17-Sep-1963,FED-STD-191/5554,Superceding Date: 31-Dec-1968
CCC-T-191/5552.2,Shrinkage in Laundering; Cloth Other Than Cotton and Linen,17-Sep-1963,FED-STD-191/5552,Superceding Date: 31-Dec-1968
CCC-T-191/5550.2,"Shrinkage in Laundering; Cotton, Linen, and Mixed Cotton and",27-Sep-1963,FED-STD-191/5550,Superceding Date: 31-Dec-1968
CCC-T-191/5530,"Penetration Resistance of Cloth; Feathers and Down, Tumbling",15-May-1951,FED-STD-191/5530,Superceding Date: 31-Dec-1968
CCC-T-191/5528,Water Resistance of Coated Cloth; Spray Method,15-May-1951,FED-STD-191/5528,Superceding Date: 31-Dec-1968
CCC-T-191/5526,Water Resistance of Cloth With Hydrophobic Finish; Spray Met,15-May-1951,FED-STD-191/5526,Superceding Date: 31-Dec-1968
CCC-T-191/5524.1,Water Resistance of Cloth-Rain Penetration Method,22-Dec-1964,FED-STD-191/5524,Superceding Date: 31-Dec-1968
CCC-T-191/5522.1,Water Resistance of Cloth-Water Impact Penetration Method,22-Dec-1964,FED-STD-191/5522,Superceding Date: 31-Dec-1968
CCC-T-191/5520,Water Resistance of Cloth; Drop Penetration Method,15-May-1951,FED-STD-191/5520,Superceding Date: 31-Dec-1968
CCC-T-191/5519,Accelerated Laundering Test for Labels,15-May-1951,FED-STD-191/5519,Superceding Date: 31-Dec-1968
GGG-P-323C(1),"Pick, Ice",26-Feb-1968,A-A-631,Superceding Date: 27-Dec-1989
GGG-P-00151B,"Peavy; Hook, Cant; and Carrier, Timber",1-Feb-1971,A-A-3031,Superceding Date: 16-Oct-1996
GGG-P-151A,Peavy,13-Oct-1953,A-A-3031,Superceding Date: 16-Oct-1996
GGG-O-599B,"Opener, Crate",11-Sep-1963,A-A-2554,Superceding Date: 24-Oct-1989
GGG-O-591F,"Oiler, Hand",16-May-1977,A-A-50470A,Superceding Date: 2-Mar-1990
GGG-N-350A,Nippers and Pincers,8-Jun-1959,ASME B107.1,Superceding Date: 9-Apr-1996
GGG-M-00100,Marlinespike (Manila Rope),17-Jun-1964,A-A-2531,Superceding Date: 26-May-1989
GGG-M-45D(1),"Machetes, Rigid Handle",25-Apr-1974,A-A-2981,Superceding Date: 15-Nov-1996
GGG-L-350(3),"Lifter, Valve Spring; Compressor, Valve Spring",30-Mar-1956,A-A-3037,Superceding Date: 28-Oct-1996
GGG-L-51A,"Ladle, Melting, Hand",15-Feb-1957,A-A-2528,Superceding Date: 26-May-1989
GGG-K-266B(2),"Key, Cowl Fastener",2-Apr-1964,A-A-2561,Superceding Date: 26-May-1989
GGG-J-1564C,"Jacks, Dolly Type, Hydraulic, Automotive",31-Mar-1992,A-A-59545,Superceding Date: 27-Jul-2001
GGG-J-51E,"Jack, Mechanical, Hand Operated (Screw; Scissors; Reel; Plan",29-Mar-1967,A-A-2970,Superceding Date: 16-Oct-1996
GGG-I-671A,"Irons: Calking, Wood",21-Apr-1953,A-A-2529,Superceding Date: 11-May-1988
GGG-I-100B,"Ice Scraper and Chipper, Sidewalk",20-Jan-1992,A-A-2934,Superceding Date: 1-Dec-1995
GGG-H-496C,"Hoe; Garden, Mortar, and Mortar Mixing",6-Feb-1961,A-A-2977,Superceding Date: 28-Oct-1996
GGG-H-211D(1),"Helmets, Welders'; Handshield, Welding; and Plates, Welding",19-Jul-1985,ANSI-Z87.1,Superceding Date: 8-Aug-1997
QPL-GGG-H-177-12,"Helmet, Safety, Electrical Worker's",17-Dec-1982,A-A-2269,Superceding Date: 13-Dec-1993
GGG-H-177B,"Helmet, Safety, Electrical Worker's",27-Oct-1977,A-A-2269A,Superceding Date: 13-Dec-1993
GGG-H-142G(1),"Helmet, Construction Worker's",17-Apr-1979,A-A-2269A,Superceding Date: 13-Dec-1993
GGG-H-135,"Hawk, Plasterer's",29-Jan-1966,A-A-3016,Superceding Date: 13-Jan-1998
GGG-H-00110,"Handling Tool, Sheet Material (Vacuum Type)",10-Feb-1964,A-A-3039,Superceding Date: 28-Oct-1996
GGG-H-86C,"Hammer, Hand, (Forged Steel Head)",8-Mar-1963,A-A-3045,Superceding Date: 1-Nov-1996
GGG-G-770B,"Gun, Air Blow, (Blast Cleaning)",9-May-1973,A-A-55543,Superceding Date: 5-Feb-1999
GGG-G-670,"Grass Hooks, Whip Grass Cutters, and Whip Weed Cutters",19-Apr-1956,A-A-2127A,Superceding Date: 28-Aug-1994
GGG-G-521E,"Goggles, Industrial, Resilient Frame",27-Jul-1988,A-A-1110A,Superceding Date: 1-Dec-1992
GGG-G-513B,"Goggles, Industrial, (Eyecup); and Lens, Goggles, Industrial",10-May-1974,A-A-1813,Superceding Date: 15-Apr-1981
DDD-P-00360A,"Pillowcase; and Cover, Headrest (Disposable)",9-Apr-1973,A-A-163,Superceding Date: 27-Sep-1979
DDD-P-351H(1),"Pillowcase, Cotton and Polyester/Cotton",27-Nov-1978,A-A-55214,Superceding Date: 5-Jul-2000
DDD-P-56G,"Pad, Mattress, Polyester Batting, Quilted, Flat or Fitted",7-Jun-1994,A-A-3148,Superceding Date: 14-Jan-1998
DDD-P-55A,"Pad, Ironing Board, Cotton",11-Dec-1961,RR-I-660,Superceding Date: 6-Aug-1968
DDD-P-50,"Pad, Cotton, Dressing, Eye Pad",10-Jun-1959,A-A-54757,Superceding Date: 15-Jan-1994
DDD-P-47C,"Pad, Bed Linen Protective",13-Jan-1976,A-A-30093,Superceding Date: 31-Jan-1991
DDD-M-136B,"Mask, Surgical",23-May-1958,A-A-54553,Superceding Date: 3-Apr-1992
DDD-L-20F(1),"Label: for Clothing, Equipage, and Tentage, (General Use)",30-Mar-1990,MIL-DTL-32075,Superceding Date: 23-Apr-2002
DDD-H-71H,"Handkerchief, Man's and Woman's",22-Sep-1980,A-A-50356A,Superceding Date: 12-Mar-1990
DDD-G-138B,"Gauze, Petrolatum Impregnated",29-Jul-1975,A-A-54419,Superceding Date: 15-Dec-1991
DDD-F-410C,"Flag, National, United States of America, Indoor Set",15-Aug-1988,A-A-2864,Superceding Date: 18-May-1994
DDD-E-00940A,"Eyelet Reinforcement, Gummed, Cloth",22-Aug-1969,A-A-188,Superceding Date: 31-Dec-1996
DDD-E-940,"Eyelet Reinforcement, Gummed, Cloth",31-Oct-1963,A-A-188,Superceding Date: 31-Dec-1996
DDD-D-00620,"Drape, Surgical, Plastic, Sterile, 18 by 36 Inches, 10S",17-Mar-1965,A-A-51370,Superceding Date: 8-Jul-1991
DDD-C-800A,"Curtains, Bedside Screen",31-Jul-1990,A-A-54977,Superceding Date: 14-Apr-1995
DDD-C-641B,"Curtain, Airport; Curtain, Doorway; and Curtain Fixtures",30-Jun-1964,A-A-54977,Superceding Date: 14-Apr-1995
DDD-C-611A,"Cover, Ironing-Board, (Cloth)",30-Dec-1957,RR-I-660,Superceding Date: 6-Aug-1968
DDD-C-00475B,"Cloth, Squeeze, Dental",9-Jun-1972,A-A-51290,Superceding Date: 1-Aug-1988
DDD-C-450B,"Cloths, Polishing (for Electrical Contact Surfaces)",26-Jan-1976,A-A-168,Superceding Date: 20-Mar-1989
DDD-C-441C,"Cloth, Polishing",7-Sep-1972,A-A-3157,Superceding Date: 22-Apr-1998
DDD-C-301A,Cheesecloth; Wiping Purposes (Remnants and Seconds),8-Mar-1976,A-A-1224,Superceding Date: 11-Jan-1988
DDD-B-1199A,"Binding Textile, Cotton, Bias - Cut",1-Dec-1971,A-A-52067,Superceding Date: 5-Nov-1990
DDD-B-1022A(1),"Blanket, Bed (Thermal Type), Cotton",1-Dec-1975,ASTM-D5432,"Cancelled Date: 1-Mar-1995 Superceding Date: 1-Mar-1995"
DDD-B-151J,"Bedspread, Cotton, Polyester, Cotton/Rayon, Cotton/Polyester",30-Jun-1988,A-A-50684,Superceding Date: 25-May-1995
DDD-B-0035C,"Bandage, Absorbent, Adhesive",30-Dec-1971,A-A-51832,Superceding Date: 15-Nov-1990
DDD-B-35,"Bandage, Absorbent, Adhesive",26-Feb-1957,A-A-51832,Superceding Date: 15-Nov-1990
DDD-A-616G,"Aprons, Food Handlers'",15-Apr-1977,A-A-3105,Superceding Date: 5-Jan-1998
CCC-W-51D,"Wadding, Cotton, Surgical",6-Jun-1975,A-A-54748,Superceding Date: 1-Nov-1992
CCC-T-191/9010,Shade Matching of Textile Materials-Visual Method,15-May-1951,FED-STD-191/9010,Superceding Date: 31-Dec-1968
CCC-T-191/7590,Shrinkage in Sponging; Garments and Ready-Made Articles,15-May-1951,FED-STD-191/7590,Superceding Date: 31-Dec-1968
CCC-T-191/7580,Shrinkage in Dry Cleaning; Garments and Ready-Made Articles,15-May-1951,FED-STD-191/7580,Superceding Date: 31-Dec-1968
CCC-T-191/7561,Shrinkage in Laundering of Shrink-Resistant Treated Wool Soc,15-May-1951,FED-STD-191/7561,Superceding Date: 31-Dec-1968
CCC-T-191/7560.1,Shrinkage in Laundering of Shrink-Resistant Wool Socks,6-May-1953,FED-STD-191/7560,Superceding Date: 31-Dec-1968
CCC-T-191/7558,"Shrinkage, Relaxation; Wool Garments and Ready-Made Articles",15-May-1951,FED-STD-191/7558,Superceding Date: 31-Dec-1968
CCC-T-191/7556,Shrinkage in Laundering of Garments and Ready-Made Articles;,15-May-1951,FED-STD-191/7556,Superceding Date: 31-Dec-1968
CCC-T-191/7554,Shrinkage in Laundering of Wool Garments and Ready-Made Arti,15-May-1951,FED-STD-191/7554,Superceding Date: 31-Dec-1968
CCC-T-191/7552,Shrinkage in Laundering of Garments and Ready-Made Articles,15-May-1951,FED-STD-191/7552,Superceding Date: 31-Dec-1968
CCC-T-191/7550,Shrinkage in Laundering of Cotton And/Or Linen Garments and,15-May-1951,FED-STD-191/7550,Superceding Date: 31-Dec-1968
CCC-T-191/7308,"Abrasion Resistance; Socks, Hosiery, and Knitted Cloth;",15-May-1951,FED-STD-191/7308,Superceding Date: 31-Dec-1968
CCC-T-191/5972.1,Adhesion of Coating; Water Resistance Method,15-Jan-1959,FED-STD-191/5972,Superceding Date: 31-Dec-1968
CCC-T-191/5970.2,Adhesion of Coating: Adhesive Method,10-Jun-1966,FED-STD-191/5970,Superceding Date: 31-Dec-1968
CCC-T-191/5964,Adhesion of Wet Seams,15-May-1951,FED-STD-191/5964,Superceding Date: 31-Dec-1968
CCC-T-191/5962,Adhesion of Strapped Seam,15-May-1951,FED-STD-191/5962,Superceding Date: 31-Dec-1968
CCC-T-191/5960,Adhesion of Cemented Seams,15-May-1951,FED-STD-191/5960,Superceding Date: 31-Dec-1968
CCC-T-191/5950,Adhesion of Plied Double Textures Fabric,15-May-1951,FED-STD-191/5950,Superceding Date: 31-Dec-1968
CCC-T-191/5920,Heating Spontaneous of Cloth; Mackey,15-May-1951,FED-STD-191/5920,Superceding Date: 31-Dec-1968
CCC-T-191/5910,Burning Rate of Cloth; 30 Angle,15-May-1951,FED-STD-191/5910,Superceding Date: 31-Dec-1968
CCC-T-191/5908,Burning Rate of Cloth; 45 Angle,15-May-1951,FED-STD-191/5908,Superceding Date: 31-Dec-1968
CCC-T-191/5906,Burning Rate of Cloth; Horizontal,15-May-1951,FED-STD-191/5906,Superceding Date: 31-Dec-1968
CCC-T-191/5904,"Flame Resistance of Cloth; Vertical, Field",15-May-1951,FED-STD-191/5904,Superceding Date: 31-Dec-1968
CCC-T-191/5518,Laundering Resistance of Cloth With Water-Resistant Finish;,15-May-1951,FED-STD-191/5518,Superceding Date: 31-Dec-1968
CCC-T-191/5516.1,"Water Resistance of Cloth: Water Permeability, Hydrostatic",10-Jun-1966,FED-STD-191/5516,Superceding Date: 31-Dec-1968
CCC-T-191/5514.1,Water Resistance of Cloth: Low Range Hydrostatic Pressure Me,24-Sep-1965,FED-STD-191/5514,Superceding Date: 31-Dec-1968
CCC-T-191/5512.2,"Water Resistance of Coated Cloth; High Range, Hydrostatic Pr",17-Sep-1963,FED-STD-191/5512,Superceding Date: 31-Dec-1968
CCC-T-191/5510,Dry Cleaning Resistance of Cloth With Water-Resistant Finish,15-May-1951,FED-STD-191/5510,Superceding Date: 31-Dec-1968
CCC-T-191/5509,Dry Cleaning Solvent Resistance of Cloth With Water-Resistan,15-May-1951,FED-STD-191/5509,Superceding Date: 31-Dec-1968
CCC-T-191/5508,Dry Cleaning Solvent Resistance of Cloth With Water-Resistan,15-May-1951,FED-STD-191/5508,Superceding Date: 31-Dec-1968
CCC-T-191/5506,Accelerated Dry Cleaning Test for Labels,15-May-1951,FED-STD-191/5506,Superceding Date: 31-Dec-1968
CCC-T-191/5504.1,Water Resistance of Coated Cloth-Spray Absorption Method,22-Dec-1964,FED-STD-191/5504,Superceding Date: 31-Dec-1968
CCC-T-191/5502.1,Water Resistance of Cloth-Immersion Absorption Method,22-Dec-1964,FED-STD-191/5502,Superceding Date: 31-Dec-1968
CCC-T-191/5500.1,Water Resistance of Cloth-Dynamic Absorption method,22-Dec-1964,FED-STD-191/5500,Superceding Date: 31-Dec-1968
CCC-T-191/5460,Permeability to Hydrogen Gas; Cloth,15-May-1951,FED-STD-191/5460,Superceding Date: 31-Dec-1968
CCC-T-191/5452,Permeability to Air; Cloth; Falling Cylinder Method,15-May-1951,FED-STD-191/5452,Superceding Date: 31-Dec-1968
CCC-T-191/5450.1,Permeability to Air; Cloth-Calibrated Orifice Method,22-Dec-1964,FED-STD-191/5450,Superceding Date: 31-Dec-1968
CCC-T-191/5420.1,Slippage Resistance of Yarns in Cloth; Seam Method,24-Sep-1965,FED-STD-191/5420,Superceding Date: 31-Dec-1968
CCC-T-191/5410.1,Slippage Resistance of Yarns in Cloth; Yarn Distortion Metho,24-Sep-1965,FED-STD-191/5410,Superceding Date: 31-Dec-1968
CCC-T-191/5404,Sewability of Cloths Containing Thermoplastic Synthetic Fibe,15-May-1951,FED-STD-191/5404,Superceding Date: 31-Dec-1968
CCC-T-191/5400.2,Sewability of Woven Cloth; Yarn Severance Method,24-Sep-1965,FED-STD-191/5400,Superceding Date: 31-Dec-1968
CCC-T-191/5310,Appearance-Retention of Cloth; Pilling and Surface Wear,15-May-1951,FED-STD-191/5310,Superceding Date: 31-Dec-1968
CCC-T-191/5308,Abrasion Resistance of Cloth; Uniform Abrasion Schiefer Meth,15-May-1951,FED-STD-191/5308,Superceding Date: 31-Dec-1968
CCC-T-191/5306,"Abrasion Resistance of Cloth; Rotary Platform, Double-Head",15-May-1951,FED-STD-191/5306,Superceding Date: 31-Dec-1968
ZZ-P-112D(1),"Patch, Repair, for Inner Tubes and Tubeless Tire Liners",1-Dec-1972,A-A-52517,Superceding Date: 5-Sep-1995
CCC-T-191/4832,Leaching Resistance; Cordage; Prewet Specimen method,15-May-1951,FED-STD-191/4832,Superceding Date: 31-Dec-1968
CCC-T-191/4830,Leaching Resistance; Cordage; Standard Method,15-May-1951,FED-STD-191/4830,Superceding Date: 31-Dec-1968
CCC-T-191/4804,"Weathering Resistance; Yarn, Thread, Cordage; Accelerated We",15-May-1951,FED-STD-191/4804,Superceding Date: 31-Dec-1968
CCC-T-191/4800,"Weathering Resistance; Yarn, Cordage; Natural Weathering Met",15-May-1951,FED-STD-191/4800,Superceding Date: 31-Dec-1968
CCC-T-191/4762,"Mildew Resistance; Thread, Cordage, Webbing; soil Burial Met",15-May-1951,FED-STD-191/5762,Superceding Date: 31-Dec-1968
CCC-T-191/4760,"Mildew Resistance; Thread, Cordage; Mixed Culture Method",15-May-1951,FED-STD-191/5760,Superceding Date: 31-Dec-1968
CCC-T-191/4750,"Mildew Resistance; Yarn, Thread, Cordage; Direct Inoculation",15-May-1951,FED-STD-191/5750,Superceding Date: 31-Dec-1968
CCC-T-191/4680,"Colorfastness to Perspiration; Yarn, Thread, Cordage; Perspi",15-May-1951,FED-STD-191/5680,Superceding Date: 31-Dec-1968
CCC-T-191/4672,"Colorfastness to Weather; Yarn, Thread, Cordage; Natural Wea",15-May-1951,FED-STD-191/5672,Superceding Date: 31-Dec-1968
CCC-T-191/4671,Colorfastness to Weather of Yarn; Accelerated Method (nation,15-May-1951,FED-STD-191/5671,Superceding Date: 31-Dec-1968
CCC-T-191/4662,"Colorfastness to Light; Yarn, Thread, Cordage; Natural Light",15-May-1951,FED-STD-191/5662,Superceding Date: 31-Dec-1968
CCC-T-191/4660,"Colorfastness to Light; Yarn, Thread, Cordage; Accelerated",15-May-1951,FED-STD-191/5660,Superceding Date: 31-Dec-1968
CCC-T-191/4640,Colorfastness to Dry and Wet Heat (hot Pressing)of Yarn,15-May-1951,FED-STD-191/5640,Superceding Date: 31-Dec-1968
CCC-T-191/4632,"Colorfastness to Salt Water and Soap; Yarn, Thread, Cordage",15-May-1951,FED-STD-191/5632,Superceding Date: 31-Dec-1968
CCC-T-191/4630,"Colorfastness to Water; Yarn, Thread, Cordage",15-May-1951,FED-STD-191/5630,Superceding Date: 31-Dec-1968
CCC-T-191/4622,Colorfastness to Wet Cleaning,15-May-1951,FED-STD-191/5622,Superceding Date: 31-Dec-1968
CCC-T-191/4621,"Colorfastness to Dry Cleaning; Yarn, Thread, and Cordage (",15-May-1951,FED-STD-191/5621,Superceding Date: 31-Dec-1968
CCC-T-191/4620,"Colorfastness to Dry Cleaning; Yarn, Thread and Cordage (pet",15-May-1951,FED-STD-191/5620,Superceding Date: 31-Dec-1968
CCC-T-191/4614,"Colorfastness to Laundering; Wool, Silk, and Rayon Yarn, Thr",15-May-1951,FED-STD-191/5614,Superceding Date: 31-Dec-1968
CCC-T-191/4610,"Colorfastness to Laundering; Cotton and Linen Yarn, Thread,",15-May-1951,FED-STD-191/5610,Superceding Date: 31-Dec-1968
CCC-T-191/4600,"Colorfastness to Chlorine Bleaching; Cotton Yarn, Thread, an",15-May-1951,FED-STD-191/5600,Superceding Date: 31-Dec-1968
CCC-T-191/4504,"Water Resistance, Vertical Rise Wicking, Thread",15-May-1951,FED-STD-191/4504,Superceding Date: 31-Dec-1968
CCC-T-191/4502.2,"Water Absorption; Thread, Cord, Braid, Tape, Webbing-Immersi",22-Dec-1964,FED-STD-191/4502,Superceding Date: 31-Dec-1968
CCC-T-191/4500.1,"Water Absorption, Dynamic; Tumble Jar Method",10-Jun-1966,FED-STD-191/4500,Superceding Date: 31-Dec-1968
CCC-T-191/4308,"Abrasion Resistance of Yarn, Thread, and Light Cordage;",15-May-1951,FED-STD-191/4308,Superceding Date: 31-Dec-1968
CCC-T-191/4112,"Crimp in Yarns From Fabrics, Load-Elongation Method",15-May-1951,FED-STD-191/4112,Superceding Date: 31-Dec-1968
CCC-T-191/4110,Crimp in Yarns From Fabrics; Dead-Load Method,15-May-1951,FED-STD-191/4110,Superceding Date: 31-Dec-1968
CCC-T-191/4108,"Strength and Elongation, Breaking, Webbing, Tape, and Braide",15-May-1951,FED-STD-191/4108,Superceding Date: 31-Dec-1968
