Document Number,Document Title,FSC,Preparing Activity,Date,Notice/ Date,Amendment/ Date,Interim Amendment/ Date
W-L-00116/39C,"Lamp Fluorescent Trade No. F40T12/Cw/Is or F40T17/Cw/Is, Ins",6240,AS,4-Nov-1977,,,
W-L-00116/40B,"Lamp Fluorescent Trade No. F40T12/Ww/Is or F40T17/Ww/Is, 40",6240,AS,4-Nov-1977,,,
W-L-00116/41A,"Lamp Fluorescent Trade No. F96T8/Cw, Instant Start, 50 Watt,",6240,AS,27-May-1976,,,
W-L-00116/42A,"Lamp Fluorescent Trade No. F72T12/Cw, Instant Start, 55 Watt",6240,AS,27-May-1976,,,
W-L-00116/46A,"Lamp Fluorescent Trade No. F96T12/D, Instant Start, 75 Watt,",6240,AS,27-May-1976,,,
W-L-00116/47,"Lamp Fluorescent Trade No. F4Ocw, Rapid Start 35 Watt, T-12",6240,AS,23-Sep-1977,,,
W-L-00116/48,"Lamp Fluorescent Trade No. F40W, Rapid Start, 35 Watt, T-12",6240,AS,23-Sep-1977,,,
W-L-00116/49,"Lamp Fluorescent Trade No. F40Ww, Rapid Start 35 Watt, T-12",6240,AS,23-Sep-1977,,,
W-L-00116/50,"Lamp Fluorescent Trade No. F40D, Rapid Start, 35 Watt, T-12",6240,AS,23-Sep-1977,,,
W-L-00116/55,"Lamp, Fluorescent Trade No. F96T12/Cw/Ho, Rapid Start, 95/10",6240,AS,13-Sep-1978,,,
W-L-00116D/GEN,"Lamps, Fluorescent (General Specification)",6240,AS,26-May-1976,,,
GG-S-001015A,"Syringe, Fountain",6530,DM,25-Sep-1969,,,
GG-T-00311B(1),"Thermometers, Self Indicating, Mercury in Glass (Fever)",6515,DM,12-Oct-1967,,,
GG-T-315C,"Thermometers, Self-Indicating, Liquid-In-Glass",6685,GL,1-Oct-1975,,,
GGG-W-00656,"Wrench, Socket (Set, Spark Plug, Hand, Including Handles and",5120,84,12-May-1959,,,
GGG-W-665C,"Wrench, Spanner",5120,FSS,27-Mar-1996,,,
O-F-499D,"Flux, Brazing, (Silver Alloy, Low Melting Point)",3439,SH,6-Feb-1985,,,
W-L-316B,"Light, Floor (Notice 1 canc Int Amd 1 dated 2/3/77)",6530,MB,22-Sep-1976,,,
GG-T-356B,"Thermometer, Self Indicating, Liquid in Glass, Minimum, (Met",6660,GS1,30-Jun-1998,,"Amendment: 2
14-May-1957","Int Amendment: 3
29-Mar-1976"
TT-T-656C,Tricresyl Phosphate,6810,AS,5-Oct-1992,,,
TT-V-91B(1),"Varnish, Shellac",8010,SH,18-Jul-1950,"Notice: 2
2-May-1994","Amendment: 2
30-Dec-1975",
TT-W-156B(2),"Water Repellent Compound, Textile Finish",8030,GL,2-Oct-1972,,"Amendment: 2
23-Jun-1977",
HH-I-536,"Insulation Sheet, Electrical, Natural Muscovite Mica",5970,ER,23-Jan-1952,"Notice: 2
25-Aug-1999",,
W-P-796B,"Pullers, Fuse",5120,84,24-Apr-1974,,,
TT-W-572B(2),Wood Preservative: Water Repellent,6840,GS,28-May-1969,,,
UU-B-790A,"Building Paper, Vegetable Fiber: (Kraft, Waterproofed, Water",5640,YD1,5-Feb-1968,,,
KKK-W-291F,Wheelbarrows,3920,CR,15-Jan-1985,,"Amendment: 1
4-Aug-1952",
RR-S-001301,"Safety Equipment, Climbing",4240,SH,22-Jun-1967,,,
AA-C-2786(1),"Cabinet, Security, Information Processing System Storage, Cl",7110,FSS,7-Sep-2004,,,
P-C-438A,"Cleaning Compound, Optical Lens",6850,GL,26-Apr-1968,,,
P-C-1891,"Cleaning Compound, Porcelain and Ceramic Tile",7930,GL,27-Sep-1976,,,
P-D-245F(1),"Detergent, General Purpose, Laundry and Hand Dishwashing (Gr",7930,GL,11-Jul-1990,,,"Int Amendment: 1
24-Aug-1983"
P-D-410C,"Dishwashing Compound, Hand (Synthetic Detergent, Solid and L",7930,GL,18-May-1977,,,
HH-C-576B,"Cork Sheet (Gaskets, Sheets, and Strips)",5330,IS,1-Aug-1961,,,
HH-P-151F,"Packing; Rubber-Sheet, Cloth-Insert",5330,SH,19-Jul-1985,,,
VV-L-765A(1),"Lubricants, Enclosed-Gear, Nonextreme-Pressure",9150,MR,10-Apr-1967,,"Amendment: 1
8-Jan-1971",
VV-L-825C,"Lubricating Oil, Refrigerant Compressor, Uninhibited",9150,SH,18-Mar-1997,"Notice: 2
4-Jan-2008",,
WW-F-2743A,"Furnaces, Warm Air and Heaters, Unit, Forced Air Circulation",4520,IS,27-May-1998,"Notice: 1
19-Mar-2003",,
MMM-A-105,"Adhesive and Sealing Compounds Cellulose Nitrate Base, Solve",8040,AS,23-Jun-1967,"Notice: 1
24-Jul-1989",,
MMM-A-121,"Adhesive, Bonding Vulcanized Synthetic Rubber to Steel",8040,SH,16-Dec-1966,,,
MMM-A-134(1),"Adhesive, Epoxy Resin, Metal to Metal Structural Bonding-Not",8040,AS,17-Aug-1970,"Notice: 1
19-Apr-2001",,
MMM-A-138B,"Adhesive, Metal to Wood, Structural - Notice 1 is inactive f",8040,AS,30-Nov-1986,,,
OO-S-256/5A,"Sewing Machines, Industrial; Zigzag, Single-Needle, Machines",3530,IS,16-Nov-1978,"Notice: 2
1-Nov-2006",,
OO-S-256/10A,"Sewing Machines, Industrial; Overedge, Machine",3530,IS,16-Nov-1978,"Notice: 1
21-Aug-2001",,
P-R-1272,"Rinse Additive. Dishwashing, Concentrated",7930,GL,12-Mar-1976,,,
AA-B-001596A,"Bookcase, Wood, General Office",7110,FSS,29-Mar-1974,,,
JJ-N-180G,"Nets, Laundry",3510,IS,20-Jul-1978,,,
WW-H-191E,"Heater, Fluid, Industrial (Instantaneous, Steam, Water Conve",4520,IS,27-May-1998,,,"Int Amendment: 1
8-Feb-1977"
WW-P-460D,Pipe Fittings; Brass or Bronze (Threaded) Classes 125 And 25,4730,YD1,28-Feb-1994,"Notice: 2
27-Feb-2006","Amendment: 3
6-Mar-1987",
WW-P-541/3B(1),Plumbing Fixtures (Bathtubs) (Detail Specification),4510,IS,1-Aug-1980,"Notice: 1
29-May-2001","Amendment: 1
16-Apr-1990",
WW-P-541/4B(1),Plumbing Fixtures (Lavatories) (Detail Specification),4510,IS,1-Aug-1980,"Notice: 1
29-May-2001","Amendment: 1
16-Apr-1990",
WW-P-541/5B(1),"Plumbing Fixtures (Sinks, Kitchen, Service, and Laundry Tray",4510,IS,1-Aug-1980,,,"Int Amendment: 1
2-May-1988"
WW-P-541/8B(1),"Plumbing Fixtures (Accessories, Land Use) (Detail Specificat",4510,IS,1-Aug-1980,,"Amendment: 1
16-Apr-1990",
WW-P-541E/GEN(1),Plumbing Fixtures (General Specification),4510,IS,1-Aug-1980,,"Amendment: 1
13-Jan-1977",
WW-S-2739,"Strainers, Sediment: Pipeline, Water, Air, Gas, Oil, or Stea",4730,CC,24-Oct-1989,,,
WW-T-700F/GEN(1),"Tube, Aluminum Alloy, Drawn, Seamless, 5052, General Specifi",4710,AS,29-Dec-1983,,,
MMM-A-181D,"Adhesives, Phenol, Resorcinol, or Melamine Base",8040,MR,23-Jan-1980,"Notice: 1
23-Sep-1988",,
MMM-A-182A,"Adhesive, Rubber",8040,EA,6-Oct-1967,"Notice: 2
12-Jul-2001","Amendment: 3
15-Jul-1999","Int Amendment: 0
--"
MMM-A-185B(3),"Adhesive, Rubber (for Paper Bonding) (Notice 1 - Inactivatio",8040,AS,4-Nov-1974,"Notice: 1
29-Mar-1991",,
MMM-A-189C,"Adhesive, Synthetic-Rubber, Thermoplastic, General-Purpose",8040,MR,18-Mar-1985,,,
MMM-A-260C,"Adhesive, Water-Resistant, (for Sealing Waterproofed Paper)",8040,MR,10-May-1984,"Notice: 1
19-Apr-2001",,"Int Amendment: 2
30-Jun-1995"
MMM-A-1058A,"Adhesive, Rubber Base, (in Pressurized Dispensers) (Notice 1",8040,AS,16-Jan-1975,"Notice: 1
6-Jun-2001",,
TT-T-2935,"Thinner, Purging",8010,AS,5-May-2000,,,
V-B-871F,"Button, Sewing Hole, and Button, Staple, (Plastic)-Notice 2-",8315,CT,20-Jun-1988,,,
V-T-295E,"Thread, Nylon",8310,GL,1-Aug-1985,,,
AA-C-31E,"Cabinets, Storage, Metal",7105,FSS,1-Jun-1972,,,
AA-C-293C,"Chairs, Rotary and Straight (Steel, General Office)",7110,FSS,29-Jan-1990,,,
AA-C-300A(1),"Chairs, Wood, Executive Office",7110,FSS,17-Mar-1953,,,
AA-C-00300F,"Chair, Wood, Executive Office, Traditional",7110,FSS,10-Jul-1990,,"Amendment: 1
23-Jul-1956","Int Amendment: 2
23-Jul-1958"
AA-C-571H,"Cot, Folding",7105,IS,20-Sep-1993,,"Amendment: 1
24-Sep-1968",
JJ-W-155H,"Webbing, Textile, (Cotton, Elastic)",8305,GL,30-Jun-1988,,,
KK-C-300C(2),"Chamois Leather, Sheepskin, Oil Tanned",8330,CT,13-Jun-1969,,,
KK-L-154F,"Leather, Cattlehide, (Bag and Case)",8330,GL,14-Apr-1976,"Notice: 1
23-Oct-1987",,
OO-D-735C(1),"Drycleaning Finishing Equipment, Miscellaneous",3510,IS,11-Jan-1973,,,
OO-D-738C,Dry Cleaning Presses and Puff Irons,3510,IS,10-Feb-1978,,,
ZZ-P-51(2),"Pads, Surgical-Operating",6530,MB,2-May-1933,,,
PPP-B-30(1),"Bags, Shipping Cushioned",8105,69,15-Jun-1954,,,
PPP-B-140C,"Batteries, Storage, Industrial, Automotive, Aircraft And Nav",6140,SM,1-Mar-1993,"Notice: 1
25-Jan-1988","Amendment: 3
28-Nov-1980",
PPP-B-566E(3),"Boxes, Folding, Paperboard",8115,GL,2-Aug-1974,"Notice: 1
26-Feb-2001",,
PPP-B-585D,"Boxes, Wood, Wirebound",8115,GL,31-Dec-1992,"Notice: 2
3-Oct-2006","Amendment: 3
30-Dec-1985",
PPP-B-676E,"Boxes, Setup",8115,GL,31-Dec-1992,"Notice: 2
26-Feb-2001","Amendment: 2
4-Nov-1983",
W-B-133E,"Battery, Storage (Lead Acid, Industrial Portable Service)",6140,GS2,24-Feb-2005,,,
W-C-596/18C,"Connector, Cable Outlet, Electrical, General Purpose, Genera",5935,CC,20-Jul-2001,,,
W-C-596/20C,"Connector, Plug, Electrical, Specific Purpose, Locking, Gene",5935,CC,20-Jul-2001,"Notice: 1
16-Oct-2006",,
W-C-596/23C,"Connector, Plug, Electrical, General Purpose, General Grade,",5935,CC,20-Jul-2001,,,
W-C-596/26C,"Connector, Plug, Electrical, General Purpose, General Grade,",5935,CC,20-Jul-2001,,,
W-C-596/27D,"Connector, Plug, Electrical, General Purpose, Cable Outlet,",5935,CC,24-Sep-2001,,,
W-C-596/30D,"Connector, Plug, Electrical, General Purpose Cable Outlet, G",5935,CC,20-Jul-2001,,,
AA-C-2859A,"Cabinet, Security, Weapons Storage",7110,FAS,20-Apr-2007,,,
AA-L-486G(1),"Lockers, Clothing, Steel",7125,FSS,11-Jan-1967,,,
AA-L-00486J,"Lockers, Clothing, Steel",7125,FSS,13-Mar-1993,,,
OO-D-1297/3(1),"Drying and Conditioning Tumblers, Laundry, Commercial: One",3510,IS,5-Apr-1974,"Notice: 4
10-Jul-2007",,
OO-D-1297/4,"Drying and Conditioning Tumblers, Laundry, Commercial: Pass",3510,IS,5-Apr-1974,"Notice: 1
10-Jul-2007",,
OO-D-1297B/GEN,"Drying and Conditioning Tumblers, Laundry, Commercial: Gener",3510,IS,5-Apr-1974,,"Amendment: 1
14-Jul-1992",
OO-D-1388B(1),"Dishwashing Machines, Commercial (Rackless CONVEYOR)",7320,YD1,21-May-1984,,"Amendment: 3
30-Nov-1992",
OO-D-2765,"Ditching Machines; Ladder-Type, Light Duty, 4-Wheel-Drive,",3805,YD1,7-May-1991,,,
OO-F-586B(3),"Forming Machines, Sheet Metal, Slip Roll, Initial Pinch Type",3441,IP,13-Jan-1975,,"Amendment: 1
30-Nov-1976",
ZZ-R-710A,"Rubber Gasket Material, 35 Durometer Hardness",5330,SH,11-May-1967,,,
ZZ-R-768A,Rubber for Mountings (Unbonded-Spool and Compression Types),9320,SH,25-Nov-1966,,,
ZZ-T-391E,"Tires, Solid Rubber, and Wheels, Solid Rubber Tire, (Industr",2630,AT,23-Jun-1982,,,
ZZ-T-441H,"Tire, Pneumatic: Retreaded and Repaired (Inactive 9/25/98)",2640,AT,13-Jun-1989,,,
PPP-B-1055B(2),"Barrier Material, Waterproofed, Flexible (Notice 2 - Inactiv",8135,GL,10-Jun-1975,,,
PPP-P-25F,"Printing and Stationary Paper, Packaging and Packing of",PACK,GL,2-Jan-1976,,,
PPP-P-704E(2),"Pails, Metal, (Shipping, Steel, 1 Through 12 Gallons)",8110,GL,30-Oct-1981,"Notice: 3
16-Aug-2001",,
PPP-P-1148A(2),Packaging and Packing of Typewriters,7430,GL,1-May-1967,,,
FF-W-100C(1),"Washer, Lock, Tooth - Notice 1 inactive for new design.",5310,IS,29-Jan-1969,,,
W-B-411A(1),"Blasting Machine; Galvanometer, Blasting; Resistor Assembly-",1375,AR,29-Aug-1961,,,
GGG-C-2794,"Cups, Oil, Lubricating, and Oilers, Self-Feeding (Notice 1 d",4730,CC,10-Apr-1992,"Notice: 1
15-Dec-2000","Amendment: 2
1-Sep-1970",
FF-S-107C(2),"Screws, Tapping and Drive (Notice 1 dated 12/15/2000 - Inact",5305,IS,27-May-1969,,"Amendment: 1
28-May-1993",
W-C-596/33D,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,20-Jul-2001,,,
W-C-596/34C,"Connector, Plug, Electrical, General Purpose, Cable Outlet,",5935,CC,20-Jul-2001,,,
W-C-596/35D,"Connector, Plug, Electrical, General Purpose, Cable Outlet,",5935,CC,24-Sep-2001,,,
W-C-596/36D,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,20-Jul-2001,,,
W-C-596/37D,"Connector, Plug, Electrical, General Grade, 3 Pole, 3 Wire,",5935,CC,20-Jul-2001,"Notice: 2
30-Aug-2000",,
W-C-596/38C,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,15-Feb-1989,,,
W-C-596/39C,"Connector, Plug, Electrical, General Purpose, General Grade,",5935,CC,20-Jul-2001,"Notice: 1
25-Oct-2006",,
W-C-596/41D,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,19-Oct-2001,"Notice: 1
16-Oct-2006",,
W-C-596/42D,"Connector, Plug, Electrical, General Purpose, Grounding, 2",5935,CC,20-Jul-2001,,,
W-C-596/43D,"Connector, Receptacle, Electrical, Specific Purpose, Single",5935,CC,20-Jul-2001,,,
W-C-596/44D,"Connector, Plug, Electrical, Specific Purpose, Locking, Gene",5935,CC,20-Jul-2001,,,
W-C-596/45D,"Connector, Plug, Electrical, Specific Purpose, Cable Outlet,",5935,CC,24-Sep-2001,,,
W-C-596/59D,"Connector, Receptacle, Electrical, Specific Purpose, Single,",5935,CC,20-Jul-2001,,,
W-C-596/60C,"Connector, Plug, Electrical, Specific Purpose, General Grade",5935,CC,20-Jul-2001,,,
W-C-596/61C,"Connector, Cable Outlet, Electrical, Specific Purpose, Cable",5935,CC,20-Jul-2001,"Notice: 1
6-Oct-2006",,
AA-O-230E/GEN,"Office Furniture, Executive Type, Wood, Traditional",7110,FSS,31-Dec-1997,,,
OO-I-675F(3),"Ironers, Flatwork, Commercial (and Accessories)",3510,IS,20-Nov-1973,,,
OO-J-571E,"Jointers, Woodworking",3220,IP,20-Jun-1986,,,
OO-L-131K(1),"Laundry Equipment, Miscellaneous, Commercial",3510,IS,11-Jan-1972,,"Amendment: 1
2-Nov-1976",
OO-L-138C(1),"Laundry Presses, Commercial",3510,IS,27-Jun-1972,,,
CCC-P-91C,"Padding; Rubberized, Curled Hair",8320,AR,1-Oct-1973,,,
PPP-T-495B,"Tubes, Mailing, and Filing",8110,GL,25-Feb-1974,,,
PPP-T-680E,"Tape, Pressure-Sensitive Adhesive: Packaging and Packing of",PACK,GL,17-Nov-1975,,"Amendment: 1
18-May-1976",
PPP-T-681D(1),"Tape, Gummed, Packaging and Packing of",PACK,GL,5-Mar-1974,,,
PPP-C-795D,"Cushioning Material, Packaging (Flexible Closed Cell Plastic",8135,AS,13-Jun-1994,,,
F-V-2906,"Valves, Air Venting, Steam",4520,IS,12-Jun-1997,,,
OO-D-1297/5(1),"Drying and Conditioning Tumblers, Laundry, Commercial: Roll",3510,IS,5-Apr-1974,,,
DDD-C-570C,"Compress, Gauze; and, Compress and Skullcap, Head Dressing,",6510,MB,28-Feb-1980,"Notice: 2
7-Dec-2007",,
RR-C-901D,"Cylinders, Compressed Gas: Seamless Shatterproof, High Pres",8120,GS7,2-Jan-2008,,,
GGG-B-440B(1),"Blade, Circular Saw, Woodcutting - (Inactive for New Design)",3230,FSS,25-Sep-1964,,,
W-C-596/65D,"Connector, Receptacle, Electrical, General Purpose, Duplex,",5935,CC,19-Oct-2001,,,
W-C-596/66D,"Connector, Plug, Electrical, General Purpose, General Grade,",5935,CC,20-Jul-2001,"Notice: 1
6-Oct-2006",,
W-C-596/67C,"Connector, Cable Outlet, Electrical, General Purpose, Genera",5935,CC,24-Sep-2001,,,
W-C-596/69C,"Connectors, Plug, Electrical, General Purpose, General Grade",5935,CC,20-Jul-2001,"Notice: 1
6-Oct-2006",,
W-C-596/70C,"Connector, Cable Outlet, Electrical, General Purpose, Genera",5935,CC,24-Sep-2001,,,
W-C-596/73D,"Connector, Plug, Electrical, General Purpose, General Grade,",5935,CC,20-Jul-2001,,,
W-C-596/77C,"Connector, Receptacle, Electrical, Specific Purpose, General",5935,CC,20-Jul-2001,,,
W-C-596/78C,"Connector, Plug, Electrical, Specific Purpose, General Grade",5935,CC,20-Jul-2001,,,
W-C-596/79C,"Connector, Cable Outlet, Electrical, Specific Purpose, Singl",5935,CC,20-Jul-2001,"Notice: 1
6-Oct-2006",,
W-C-596/80B,"Connector, Receptacle, Electrical, Male Inlet, Special Purpo",5935,CC,7-Dec-2001,"Notice: 1
6-Oct-2006",,
W-C-596/81B,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,19-Oct-2001,,,
W-C-596/82B,"Connector, Plug, Electrical, Special Purpose, Grounding, Loc",5935,CC,20-Jul-2001,"Notice: 1
6-Oct-2006",,
W-C-596/83C,"Connector, Plug, Electrical, Special Purpose, Cable Outlet,",5935,CC,7-Dec-2001,"Notice: 1
6-Oct-2006",,
W-C-596/84B,"Connector, Receptacle, Electrical, Male Inlet, Special Purpo",5935,CC,7-Dec-2001,"Notice: 1
6-Oct-2006",,
W-C-596/139B,"Connector, Receptacle, Electrical, Male Inlet, General Purpo",5935,CC,7-Dec-2001,"Notice: 1
25-Oct-2006",,
W-C-596/140C,"Connector, Receptacle, Electrical, Male Inlet, General Purpo",5935,CC,7-Dec-2001,"Notice: 1
25-Oct-2006",,
W-C-596/141C,"Connector, Receptacle, Electrical, Male Inlet, General Purpo",5935,CC,7-Dec-2001,"Notice: 1
25-Oct-2006",,
W-C-596/142C,"Connector, Receptacle, Electrical, Male Inlet, General Purpo",5935,CC,7-Dec-2001,"Notice: 1
19-Oct-2006",,
W-C-596/143B,"Connector, Plug, Electrical, General Purpose, Cable Outlet,",5935,CC,7-Dec-2001,"Notice: 1
19-Oct-2006",,
W-C-596/145A,"Connector, Receptacle, Electrical, Special Purpose, Duplex,",5935,CC,7-Dec-2001,,,
W-C-596/148A,"Connector, Receptacle, Electrical, Specific Purpose, Single,",5935,CC,3-May-1988,"Notice: 2
19-Oct-2006",,
W-C-596/149A,"Connector, Plug, Electrical, Specific Purpose, Locking, Grou",5935,CC,3-May-1988,"Notice: 2
19-Oct-2006",,
AA-T-2753,"Table, Folding, Steel Tube (Advance Base)",7105,YD1,30-Apr-1991,,,
AA-V-2737(2),Modular Vault Systems,7110,FAS,25-Apr-1990,,,
BB-A-106C,"Acetylene, Technical, Dissolved",6830,GS3,30-Jan-2001,"Notice: 2
19-Apr-2001","Amendment: 1
27-Dec-1995","Int Amendment: 0
--"
BB-A-1034B(1),"Compressed Air, Breathing-Notice 1 is inactive for new desig",6830,AS,20-Dec-1985,,,
BB-C-101C,Carbon Dioxide (CO2): Technical and USP,6830,GS3,21-Jan-2004,"Notice: 1
11-Jul-2006","Amendment: 1
1-Oct-2001","Int Amendment: 0
--"
BB-E-2879A(1),"Extinguisher, Fire, Carbon Dioxide (CO2), Portable, With Mou",4210,AS,6-Apr-2001,"Notice: 1
17-Nov-2006",,
PP-T-002149A,"Turkey Slices with Gravy, Thermostabilized, TRAY PACK",8940,GL,6-Jan-1983,,,
CCC-W-408D,"Wall Covering, Vinyl-Coated",5640,IS,14-Jan-1994,,,
DDD-A-1466C,"Apron, Construction Worker's",8415,GL,10-Jan-1991,,,
W-C-596/150A,"Connector, Cable Outlet, Electrical, Specific Purpose, Singl",5935,CC,3-May-1988,"Notice: 2
19-Oct-2006",,
W-C-596/151B,"Connector, Receptacle, Electrical, Specific Purpose, Single,",5935,CC,3-May-1988,"Notice: 2
19-Oct-2006",,
W-C-596/152A,"Connector, Plug, Electrical, Specific Purpose, Locking, Grou",5935,CC,3-May-1988,"Notice: 2
19-Oct-2006",,
W-C-596/153A,"Connector, Cable Outlet, Electrical, Specific Purpose, Singl",5935,CC,3-May-1988,"Notice: 2
19-Oct-2006",,
W-C-596/154A,"Connector, Receptacle, Electrical, Specific Purpose, Single,",5935,CC,3-May-1988,"Notice: 2
19-Oct-2006",,
W-C-596/155A,"Connector, Plug, Electrical, Specific Purpose, Locking, Grou",5935,CC,3-May-1988,"Notice: 2
19-Oct-2006",,
W-C-596/156A,"Connector, Cable Outlet, Electrical, Specific Purpose, Cable",5935,CC,3-May-1988,"Notice: 2
25-Oct-2006",,
W-C-596/157A,"Connector, Receptacle, Electrical, Specific Purpose, Single,",5935,CC,3-May-1988,"Notice: 2
24-Oct-2006",,
W-C-596/159A,"Connector, Cable Outlet, Electrical, Specific Purpose, Cable",5935,CC,3-May-1988,,,
W-C-596/164B,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,10-Aug-2006,"Notice: 1
25-Oct-2006",,
W-C-596/165B,"Connector, Plug, Electrical, General Purpose, Grounding, 2",5935,CC,19-Oct-2001,,,
W-C-596/167B,"Connector, Receptacle, Electrical, Male Inlet, General Purpo",5935,CC,19-Oct-2001,"Notice: 3
31-Aug-2000",,
W-C-596/168A,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,10-Aug-2006,"Notice: 1
25-Oct-2006",,
W-C-596/169B,"Connector, Plug, Electrical, General Purpose, Grounding, 2",5935,CC,19-Oct-2001,,,
W-C-596/171B,"Connector, Receptacle, Electrical, Male Inlet, General Purpo",5935,CC,19-Oct-2001,,,
W-C-596/173B,"Connector, Plug, Electrical, General Purpose, Grounding, 2",5935,CC,19-Oct-2001,,,
BB-H-886D,Hydrogen,6830,GS3,11-Jan-2001,,,
BB-H-1168C,"Helium, Technical",6830,GS,3-Aug-2000,,,
BB-O-925A,"Oxygen, Technical, Gas and Liquid",6830,SH,22-Aug-1961,,,
DD-B-599A,"Bottle, Stopper, Vaccine, Round and Stopper, Bottle, Rubber",6530,DM,1-Dec-1961,,,
DD-B-601,"Bottle, Stopper, Milk Dilution, 160 Milliliters",6640,DM,29-Jul-1959,,,
QQ-W-46B,"Wire, Steel, (Carbon), Bare and Coated",5960,CC,14-Jul-1953,,,
QQ-W-414B(1),"Wire, Steel, Carbon: Bookbinder",9505,IS,9-Jun-1967,,,
DDD-T-511D,"Towels, Dish and Dishcloths (Crash, Cotton, and Cotton and",8305,CT,21-Dec-1970,,,"Int Amendment: 1
26-Oct-1962"
RR-F-191/2E,"Fencing, Wire and Post, Metal (Chain-Link Fence Gates) (Deta",5660,IS,7-Jun-2006,"Notice: 0
--",,
W-C-375/13A,"Circuit Breakers, Molded Case, Branch Circuit and Service, T",5925,CC,4-Aug-2004,"Notice: 1
6-Jun-2001",,
MMM-A-1617B,"Adhesive, Rubber Base, General Purpose Notice 1- Inactivatio",8040,AS,10-Feb-1995,,,
PPP-B-1672D(1),"Boxes, Shipping, Reusable With Cushioning",8115,69,1-Feb-1996,,,"Int Amendment: 1
1-Aug-1991"
PPP-B-1683A,"Cushioning Materials, Expanded Polystyrene Loose-Fill Bulk",8135,69,5-Dec-1988,,,
W-F-1814/61B,"Fuses, Cartridge, High-Interrupting Capacity, Classes RK1 an",5920,CC,12-Jan-2004,,,
TT-S-001543,"Sealing Compound: Silicone Rubber Base (For Caulking, Sealin",8030,FSS,9-Jun-1971,,,
W-C-375D,"Circuit Breakers, Molded Case; Branch Circuit and Service",5925,CC,3-Apr-2006,,,
W-C-596/3C,"Connector, Plug, Electrical, General Purpose, 2 Pole, Genera",5935,CC,20-Jul-2001,,,
W-C-596/4D,"Connector, Plug, Electrical, General Purpose, General Grade,",5935,CC,20-Jul-2001,,,
W-C-596/8D,"Connector, Plug, Electrical, Specific Purpose, Cable Outlet,",5935,CC,20-Jul-2001,,,
W-C-596/12F,"Connector, Receptacle, Electrical, General Purpose, Duplex,",5935,CC,19-Oct-2001,"Notice: 1
16-Oct-2006",,
W-C-596/13D,"Connector, Plug, Electrical, General Purpose, Hospital Grade",5935,CC,20-Jul-2001,"Notice: 1
16-Oct-2006",,
W-C-596/14D,"Connector, Cable Outlet, Electrical, General Purpose, Hospit",5935,CC,20-Jul-2001,"Notice: 1
16-Oct-2006",,
W-C-596/15E,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,19-Oct-2001,"Notice: 1
24-Oct-2006",,
W-C-596/16D,"Connector, Receptacle, Electrical, General Purpose, Duplex,",5935,CC,19-Oct-2001,"Notice: 1
16-Oct-2006",,
W-C-596/17E,"Connector, Plug, Electrical, General Purpose, Grounding, Gen",5935,CC,20-Jul-2001,"Notice: 1
16-Oct-2006",,
W-C-596/85B,"Connector, Receptacle, Electrical, Special Purpose, Single,",5935,CC,19-Oct-2001,"Notice: 1
6-Oct-2006",,
W-C-596/86B,"Connector, Receptacle, Electrical, Special Purpose, Duplex,",5935,CC,19-Oct-2001,,,
W-C-596/88C,"Connector, Plug, Electrical, Special Purpose, Cable Outlet,",5935,CC,20-Jul-2001,"Notice: 1
6-Oct-2006",,
W-C-596/89C,"Connector, Receptacle, Electrical, Male Inlet, Special Purpo",5935,CC,7-Dec-2001,"Notice: 1
6-Oct-2006",,
W-C-596/90A,"Connector, Receptacle, Electrical, Special Purpose, Single,",5935,CC,27-Sep-2001,"Notice: 1
6-Oct-2006",,
W-C-596/91B,"Connector, Plug, Electrical, Special Purpose, Grounding, Loc",5935,CC,24-Sep-2001,"Notice: 1
6-Oct-2006",,
W-C-596/92B,"Connector, Plug, Electrical, Special Purpose, Cable Outlet,",5935,CC,24-Sep-2001,"Notice: 1
6-Oct-2006",,
W-C-596/93B,"Connector, Receptacle, Electrical, Male Inlet, Special Purpo",5935,CC,7-Dec-2001,"Notice: 1
6-Oct-2006",,
AA-O-001091C,"Office Furniture: Sofa; Chair, Easy, Executive, Traditional",7110,FSS,10-Jul-1990,,"Amendment: 1
14-Jun-1974",
OO-M-340F,"Milling, Grinding, Drilling, Slotting Attachment",3460,GS6,13-Apr-2004,,,
ZZ-G-100A,"Gloves, Rubber, Autopsy",6532,GL,4-Jan-1961,,,
PPP-C-96E,"Cans, Metal, 28 Gage and Lighter",8110,GL,31-Dec-1992,"Notice: 1
15-Dec-1988",,
PPP-C-186C,"Containers, Packaging and Packing for Drugs, Chemicals, and",PACK,DM,10-Nov-1976,,,"Int Amendment: 2
15-May-1980"
PPP-C-850D(5),"Cushioning Material, Polystyrene, Expanded, Resilient (for",8135,EA,10-Apr-1964,"Notice: 1
29-Dec-2000",,
PPP-C-1120C,"Cushioning Material, Uncompressed Bound Fiber for Packaging-",8135,AS,20-Jul-1993,,"Amendment: 1
18-Apr-1978",
